"","round","female","migrant","age","education","polint","prof_training","employment","east","party_pref","internal_effic_ind","external_effic_ind","risk_aversion_ind","csp","active_sport","active_music","active_union","active_environment","active_social","active_religion","active_political","active_other","treatment","wtr_cand","wtr_engage","information","perception_risk_1","perception_risk_2","perception_envir_ind","wtr_ind_full","wtr_ind_reduc","wtr_ind_friend","wtr_work_bt","traits_1","traits_2","traits_3","traits_4","traits_5","traits_6","traits_7","third_round"
"2236",3,0,0,50,3,6,NA,NA,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2,2,NA,NA,1,3.5,2.5,2,3,3,NA,NA,NA,NA,NA,NA,NA,1
"2237",3,0,0,71,1,6,NA,NA,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,1,4,NA,NA,1,3,3,2.5,3.5,4,NA,NA,NA,NA,NA,NA,NA,1
"2238",3,0,0,41,1,5,NA,NA,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,NA,NA,1,1.75,1.5,1,2,2,NA,NA,NA,NA,NA,NA,NA,1
"2239",3,1,0,53,2,6,NA,NA,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,NA,NA,1,1.75,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1
"2240",3,0,0,41,1,7,NA,NA,NA,NA,NA,NA,NA,1,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,5,4,NA,NA,5,4.25,4.5,4.5,4.5,5,NA,NA,NA,NA,NA,NA,NA,1
"2241",3,1,0,63,2,6,NA,NA,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,NA,NA,3,3.25,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1
"2242",3,0,0,55,3,4,NA,NA,NA,NA,NA,NA,NA,0,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0,4,5,NA,NA,5,4.25,4,4.5,3.5,4,NA,NA,NA,NA,NA,NA,NA,1
"2243",3,1,0,60,1,5,NA,NA,NA,NA,NA,NA,NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2,2,NA,NA,2,3.25,2,2,2,4,NA,NA,NA,NA,NA,NA,NA,1
"2244",3,0,0,40,2,5,NA,NA,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,5,4,NA,NA,3,3.25,4,4.5,3.5,4,NA,NA,NA,NA,NA,NA,NA,1
"2245",3,1,0,67,1,2,NA,NA,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,NA,NA,2,3,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1
"2246",3,0,0,42,2,6,NA,NA,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,1,1,NA,NA,4,3.25,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1
"2247",3,1,0,51,1,6,NA,NA,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,1,NA,NA,NA,1,2.75,1,1,NA,3,NA,NA,NA,NA,NA,NA,NA,1
"2248",3,0,0,70,1,6,NA,NA,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,2,2,NA,NA,2,2.75,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,1
"2249",3,1,0,64,1,6,NA,NA,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,NA,NA,1,2.75,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1
"2250",3,1,0,32,1,2,NA,NA,NA,NA,NA,NA,NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,NA,NA,NA,NA,1,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2251",3,0,0,71,1,1,NA,NA,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,NA,NA,3,3.25,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1
"2252",3,1,0,53,1,5,NA,NA,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,1,1,NA,NA,1,2.75,1.5,1,2,3,NA,NA,NA,NA,NA,NA,NA,1
"2253",3,0,0,44,1,4,NA,NA,NA,NA,NA,NA,NA,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,3,2,NA,NA,2,3.25,3.25,2.5,4,3,NA,NA,NA,NA,NA,NA,NA,1
"2254",3,0,0,61,3,7,NA,NA,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1,4,4,NA,NA,5,2.25,4.5,4,5,5,NA,NA,NA,NA,NA,NA,NA,1
"2255",3,1,1,32,3,4,NA,NA,NA,NA,NA,NA,NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2,2,NA,NA,3,3,2.75,2,3.5,3,NA,NA,NA,NA,NA,NA,NA,1
"2256",3,0,0,36,3,5,NA,NA,NA,NA,NA,NA,NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,4,NA,NA,5,3.25,4.25,4,4.5,3,NA,NA,NA,NA,NA,NA,NA,1
"2257",3,0,0,71,1,6,NA,NA,NA,NA,NA,NA,NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,5,4,NA,NA,1,2.75,4.25,4.5,4,5,NA,NA,NA,NA,NA,NA,NA,1
"2258",3,1,0,74,2,7,NA,NA,NA,NA,NA,NA,NA,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,4,4,NA,NA,1,3.25,4.5,4,5,5,NA,NA,NA,NA,NA,NA,NA,1
"2259",3,0,0,37,1,4,NA,NA,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,2,NA,NA,4,3,2.5,1.5,3.5,2,NA,NA,NA,NA,NA,NA,NA,1
"2260",3,0,0,30,3,6,NA,NA,NA,NA,NA,NA,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,3,3,NA,NA,3,3.25,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,1
"2261",3,1,0,61,1,2,NA,NA,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1
"2262",3,0,0,42,2,7,NA,NA,NA,NA,NA,NA,NA,1,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,4,4,NA,NA,4,4.25,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,1
"2263",3,1,0,51,1,5,NA,NA,NA,NA,NA,NA,NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,3,3,NA,NA,3,3.25,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,1
