day;place;suspects;background;law;crime;party_1;party_2;party_3;party_4;party_5;;
09.08.2019;Grimma;0;Links;STGB-303;Sachbeschadigung;AfD;;;;;;
09.08.2019;GroRschonau;0;Links;STG B-303;Sachbeschadigung;AfD;;;;;;
;;;;;;;;;;;;
10.08.2019;Blankenfelde-Mahlow;1;Links;STG B-186;Ube Nachrede;AfD;;;;;;
10.08.2019;Lauterbach;1;Links;STG B-185;Beleidigung;AfD;;;;;;
10.08.2019;Dresden;1;Links;STGB-223;Korperverletzung;AfD;;;;;;
10.08.2019;Glauchau;0;Links;STG B-303;Sachbeschadigung;AfD;;;;;;
;;;;;;;;;;;;
11.08.2019;Uslar;0;Links;STGB-306;Brandstiftung;AfD;CDU;FDP;Die Linke;AfD;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
11.08.2019;Delitzsch;0;Nicht zuzuordnen;STGB-303;Sachbeschadigung;SPD;;;;;;
;;;;;Verwenden von;;;;;;;
;;;;;Kennzeichen;;;;;;;
;;;;;verfassungswidriger;;;;;;;
11.08.2019;Meerane;0;Links;STGB-86A;Organisationen;AfD;;;;;;
12.08.2019;Grog Kreutz;0;Nicht zuzuordnen;STGB-303;Sachbeschadigung;CDU;;;;;;
12.08.2019;Niemegk;0;Links;STGB-303;Sachbeschadigung;AfD;;;;;;
12.08.2019;Stuttgart;1;Rechts;STGB-130;Volksverhetzung;AfD;;;;;;
12.08.2019;Wolfenbuttel;1;Links;STGB-185;Beleidigung;AfD;;;;;;
12.08.2019;Kirchberg;0;Nicht zuzuordnen;STGB-303;Sachbeschadigung;CDU;;;;;;
12.08.2019;Leipzig;0;Nicht zuzuordnen;STGB-303;Sachbeschadigung;CDU;;;;;;
12.08.2019;Leipzig;0;Nicht zuzuordnen;STGB-303;Sachbeschadigung;CDU;;;;;;
12.08.2019;Erfurt;1;Rechts;STGB-241;Bedrohung;Bilindnis 90/Die Grilinen;;;;;;
13.08.2019;Leipzig;2;Nicht zuzuordnen;STGB-303;Sachbeschadigung;CDU;;;;;;
13.08.2019;Leipzig;0;Nicht zuzuordnen;STGB-303;Sachbeschadigung;CDU;;;;;;
13.08.2019;Waldenburg;0;Links;STGB-303;Sachbeschadigung;AfD;;;;;;
;;;;;;CDU;;;;;;
13.08.2019;Dobeln;0;Nicht zuzuordnen;STGB-303;Sachbeschadigung;FDP;;;;;;
;;;;;Aufforderung zu;;;;;;;
14.08.2019;Bernau;1;Nicht zuzuordnen;STGB-111;Straftaten;CDU;;;;;;
;;;;;Verleunndung — ohne;;;;;;;
14.08.2019;Potsdam;1;Nicht zuzuordnen;STGB-187;sexuelle Grundlage;AfD;;;;;;
14.08.2019;Berlin;0;Rechts;STGB-130;Volksverhetzung;AfD;;;;;;
14.08.2019;Isen;0;Rechts;STGB-130;Volksverhetzung;Bandnis 90/Die Grunen;;;;;;
;;;;;Verwenden von;;;;;;;
14.08.2019;Dresden;0;Rechts;STGB-86A;Kennzeichen;CDU;;;;;;
;;;;;;;;;;;;
;;;;;verfassungswidriger;;;;;;;
;;;;;Organisationen;;;;;;;
;;;;;Verwenden von;;;;;;;
;;;;;Kennzeichen;;;;;;;
;;;;;verfassungswidriger;;;;;;;
15.08.2019;Schwedt;0;Rechts;STGB-86A;Organisationen;Die Linke;;;;;;
