Satz-art;Text-kenn-zeichen;Land;RB;Kreis;VB;Gem;Gemeindename;;insgesamt;männlich;weiblich;je km2;plz;Längengrad;Breitengrad;key_travel;Reisegebiete;Schlüssel;Grad der Verstädterung
60;64;1;0;51;5178;50;Hillgroven;3,6;75;48;27;21;25764;8,874901;54,227921;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5178;79;Norddeich;6,9;410;213;197;59;25764;8,899964;54,218049;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5178;84;Oesterdeichstrich;4,64;249;123;126;54;25761;8,900566;54,158891;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5178;93;Reinsbüttel;6,83;428;214;214;63;25764;8,911057;54,179073;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5178;105;Schülp;9,27;408;214;194;44;25764;8,929943;54,241971;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5178;108;Strübbel;4,4;87;36;51;20;25792;8,971812;54,260389;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5178;109;Süderdeich;6,64;472;230;242;71;25764;8,91131;54,201711;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5178;121;Warwerort;4,58;245;134;111;53;25761;8,921723;54,141177;F01;Nordsee;3;gering besiedelt
60;63;1;0;51;5178;127;Wesselburen, Stadt;5,14; 3 287; 1 583; 1 704;639;25764;8,920686;54,212159;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5178;128;Wesselburener Deichhausen;5,07;104;49;55;21;25764;8,937237;54,174947;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5178;129;Wesselburenerkoog;21,89;162;84;78;7;25764;8,876475;54,239438;F01;Nordsee;3;gering besiedelt
60;64;1;0;51;5178;132;Westerdeichstrich;7,49;879;436;443;117;25761;8,863517;54,162006;F01;Nordsee;3;gering besiedelt
60;64;1;0;51;5178;140;Oesterwurth;14,19;257;143;114;18;25764;8,991292;54,211016;F04;übrig. Schleswig-Holstein;3;gering besiedelt
40;43;1;0;53;;;Herzogtum Lauenburg;;;;;;;;;;;;
50;50;1;0;53;32;;Geesthacht, Stadt;;;;;;;;;;;;
60;63;1;0;53;32;32;Geesthacht, Stadt;33,25; 30 453; 14 917; 15 536;916;21502;10,371785;53,433626;F04;übrig. Schleswig-Holstein;2;mittlere Besiedlungsdichte
50;50;1;0;53;83;;Lauenburg/ Elbe, Stadt;;;;;;;;;;;;
60;63;1;0;53;83;83;Lauenburg/ Elbe, Stadt;9,55; 11 498; 5 757; 5 741; 1 204;21481;10,554267;53,374189;F04;übrig. Schleswig-Holstein;2;mittlere Besiedlungsdichte
50;50;1;0;53;90;;Mölln, Stadt;;;;;;;;;;;;
60;63;1;0;53;90;90;Mölln, Stadt;25,05; 18 970; 9 069; 9 901;757;23879;10,691022;53,629521;F04;übrig. Schleswig-Holstein;2;mittlere Besiedlungsdichte
50;50;1;0;53;100;;Ratzeburg, Stadt;;;;;;;;;;;;
60;63;1;0;53;100;100;Ratzeburg, Stadt;30,29; 14 528; 6 862; 7 666;480;23909;10,774492;53,699024;F04;übrig. Schleswig-Holstein;2;mittlere Besiedlungsdichte
50;50;1;0;53;116;;Schwarzenbek, Stadt;;;;;;;;;;;;
60;63;1;0;53;116;116;Schwarzenbek, Stadt;11,56; 16 261; 8 000; 8 261; 1 407;21493;10,477663;53,502645;F04;übrig. Schleswig-Holstein;2;mittlere Besiedlungsdichte
