Satz-art;Text-kenn-zeichen;Land;RB;Kreis;VB;Gem;Gemeindename;plz;Längengrad;Breitengrad;reiseziel;Besiedlungsgrad
60;64;01;0;51;5178;043;Hedwigenkoog;25761;8,840953;54,177985;Nordsee;gering besiedelt
60;64;01;0;51;5178;045;Hellschen-Heringsand-Unterschaar;25764;8,872882;54,194536;Nordsee;gering besiedelt
60;64;01;0;51;5178;050;Hillgroven;25764;8,874901;54,227921;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5178;079;Norddeich;25764;8,899964;54,218049;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5178;084;Oesterdeichstrich;25761;8,900566;54,158891;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5178;093;Reinsbüttel;25764;8,911057;54,179073;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5178;105;Schülp;25764;8,929943;54,241971;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5178;108;Strübbel;25792;8,971812;54,260389;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5178;109;Süderdeich;25764;8,91131;54,201711;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5178;121;Warwerort;25761;8,921723;54,141177;Nordsee;gering besiedelt
60;63;01;0;51;5178;127;Wesselburen;25764;8,920686;54,212159;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5178;128;Wesselburener Deichhausen;25764;8,937237;54,174947;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5178;129;Wesselburenerkoog;25764;8,876475;54,239438;Nordsee;gering besiedelt
60;64;01;0;51;5178;132;Westerdeichstrich;25761;8,863517;54,162006;Nordsee;gering besiedelt
60;64;01;0;51;5178;140;Oesterwurth;25764;8,991292;54,211016;übrig. Schleswig-Holstein;gering besiedelt
40;43;01;0;53;;;Herzogtum Lauenburg;;;;;
50;50;01;0;53;0032;;Geesthacht;;;;;
60;63;01;0;53;0032;032;Geesthacht;21502;10,371785;53,433626;übrig. Schleswig-Holstein;mittlere Besiedlungsdichte
50;50;01;0;53;0083;;Lauenburg/ Elbe;;;;;
60;63;01;0;53;0083;083;Lauenburg/ Elbe;21481;10,554267;53,374189;übrig. Schleswig-Holstein;mittlere Besiedlungsdichte
50;50;01;0;53;0090;;Mölln;;;;;
60;63;01;0;53;0090;090;Mölln;23879;10,691022;53,629521;übrig. Schleswig-Holstein;mittlere Besiedlungsdichte
50;50;01;0;53;0100;;Ratzeburg;;;;;
60;63;01;0;53;0100;100;Ratzeburg;23909;10,774492;53,699024;übrig. Schleswig-Holstein;mittlere Besiedlungsdichte
50;50;01;0;53;0116;;Schwarzenbek;;;;;
60;63;01;0;53;0116;116;Schwarzenbek;21493;10,477663;53,502645;übrig. Schleswig-Holstein;mittlere Besiedlungsdichte
50;50;01;0;53;0129;;Wentorf bei Hamburg;;;;;
60;64;01;0;53;0129;129;Wentorf bei Hamburg;21465;10,2519;53,491012;übrig. Schleswig-Holstein;dicht besiedelt
50;51;01;0;53;5308;;Berkenthin;;;;;
60;64;01;0;53;5308;008;Behlendorf;23919;10,667846;53,699475;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5308;009;Berkenthin;23919;10,638221;53,734488;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5308;011;Bliestorf;23847;10,602527;53,768797;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5308;024;Düchelsdorf;23847;10,580373;53,737072;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5308;034;Göldenitz;23919;10,631501;53,722025;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5308;061;Kastorf;23847;10,570134;53,748875;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5308;067;Klempau;23628;10,660387;53,762851;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5308;075;Krummesse;23628;10,641961;53,780123;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5308;094;Niendorf bei Berkenthin;23919;10,626158;53,702417;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5308;103;Rondeshagen;23919;10,629717;53,753642;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5308;120;Sierksrade;23847;10,600344;53,736555;übrig. Schleswig-Holstein;gering besiedelt
50;51;01;0;53;5313;;Breitenfelde;;;;;
60;64;01;0;53;5313;002;Alt-Mölln;23881;10,658165;53,622775;übrig. Schleswig-Holstein;mittlere Besiedlungsdichte
60;64;01;0;53;5313;005;Bälau;23881;10,621739;53,616381;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5313;013;Borstorf;23881;10,564234;53,613074;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5313;014;Breitenfelde;23881;10,632977;53,605112;übrig. Schleswig-Holstein;mittlere Besiedlungsdichte
60;64;01;0;53;5313;037;Grambek;23883;10,68068;53,574025;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5313;056;Hornbek;21514;10,648548;53,5589;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5313;084;Lehmrade;23911;10,752721;53,5947;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5313;095;Niendorf/ Stecknitz;23881;10,609244;53,587228;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5313;113;Schretstaken;21493;10,539293;53,586533;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5313;125;Talkau;21493;10,568741;53,576852;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5313;134;Woltersdorf;21516;10,640176;53,576862;übrig. Schleswig-Holstein;gering besiedelt
50;51;01;0;53;5318;;Büchen;;;;;
60;64;01;0;53;5318;010;Besenthal;23899;10,743239;53,530139;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5318;015;Bröthen;21514;10,667034;53,480281;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5318;020;Büchen;21514;10,616482;53,480926;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5318;029;Fitzen;21514;10,64667;53,493942;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5318;035;Göttin;21514;10,70343;53,533746;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5318;046;Gudow;23899;10,77219;53,555336;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5318;048;Güster;21514;10,680583;53,53952;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5318;064;Klein Pampau;21514;10,586656;53,512681;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5318;080;Langenlehsten;21514;10,740533;53,499907;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5318;092;Müssen;21493;10,562546;53,494346;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5318;104;Roseburg;21514;10,624215;53,530505;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5318;115;Schulendorf;23898;10,561815;53,47331;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5318;119;Siebeneichen;21514;10,618693;53,510828;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5318;126;Tramm;21516;10,614693;53,56324;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5318;132;Witzeeze;21514;10,610144;53,452652;übrig. Schleswig-Holstein;gering besiedelt
50;51;01;0;53;5323;;Hohe Elbgeest;;;;;
60;64;01;0;53;5323;003;Aumühle;21521;10,313492;53,528598;übrig. Schleswig-Holstein;mittlere Besiedlungsdichte
60;64;01;0;53;5323;012;Börnsen;21039;10,285588;53,476743;übrig. Schleswig-Holstein;mittlere Besiedlungsdichte
60;64;01;0;53;5323;023;Dassendorf;21521;10,372665;53,488608;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5323;028;Escheburg;21039;10,309429;53,46713;übrig. Schleswig-Holstein;mittlere Besiedlungsdichte
60;64;01;0;53;5323;050;Hamwarde;21502;10,421397;53,452847;übrig. Schleswig-Holstein;mittlere Besiedlungsdichte
60;64;01;0;53;5323;053;Hohenhorn;21526;10,367611;53,475734;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5323;072;Kröppelshagen-Fahrendorf;23909;10,315197;53,488589;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5323;131;Wiershop;21502;10,451895;53,442501;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5323;133;Wohltorf;21521;10,291254;53,517253;übrig. Schleswig-Holstein;mittlere Besiedlungsdichte
60;64;01;0;53;5323;135;Worth;21502;10,408431;53,467545;übrig. Schleswig-Holstein;gering besiedelt
50;51;01;0;53;5343;;Lütau;;;;;
60;64;01;0;53;5343;006;Basedow;21483;10,583592;53,416151;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5343;019;Buchhorst;21481;10,568335;53,384993;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5343;022;Dalldorf;21483;10,610487;53,435521;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5343;058;Juliusburg;21483;10,506484;53,41715;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5343;073;Krüzen;21483;10,527113;53,401518;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5343;074;Krukow;21483;10,478187;53,418864;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5343;082;Lanze;21483;10,604387;53,386341;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5343;087;Lütau;21483;10,545404;53,435861;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5343;111;Schnakenbek;21481;10,50018;53,385426;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5343;128;Wangelau;21483;10,546567;53,453726;übrig. Schleswig-Holstein;gering besiedelt
50;51;01;0;53;5358;;Lauenburgische Seen;;;;;
60;64;01;0;53;5358;001;Albsfelde;23909;10,694451;53,679957;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5358;004;Bäk;23909;10,787081;53,716345;übrig. Schleswig-Holstein;mittlere Besiedlungsdichte
60;64;01;0;53;5358;016;Brunsmark;23883;10,750236;53,617106;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5358;018;Buchholz;23911;10,745377;53,731393;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5358;026;Einhaus;23911;10,725697;53,714136;übrig. Schleswig-Holstein;mittlere Besiedlungsdichte
60;64;01;0;53;5358;030;Fredeburg;23909;10,72727;53,674253;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5358;033;Giesensdorf;23909;10,713651;53,688273;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5358;040;Groß Disnack;23911;10,69059;53,741974;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5358;041;Groß Grönau;23627;10,750476;53,801387;übrig. Schleswig-Holstein;mittlere Besiedlungsdichte
60;64;01;0;53;5358;043;Groß Sarau;23627;10,737415;53,771827;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5358;051;Harmsdorf;23911;10,725868;53,700407;übrig. Schleswig-Holstein;gering besiedelt
