,city,date,background,law,suspects,crime,party,state,plz,city_id,insgesamt,cycle_1,cycle_2_x,cycle_3_x,crime_count,Anzahl Bewerber,Prozent Frauen,darunter Frauen,year,Land,city_id_bb,cycle_2_y,cycle_3_y,crime_count_party_lr,crime_count_party,crime_count_lr,crime_count_city,party_lr,p_female,Bewerber_city,Frauen_city,bewerber_hit_by_lr,fem_hit_by_lr,bewerber_party_hit_by_lr,fem_party_hit_by_lr,p_female_lr,p_female_city,p_female_party_lr,p_female_diff,p_female_city_diff,p_female_lr_diff,p_female_party_lr_diff,county,index,pop,female,size,share_fem,density,degree_urban,day
1030,Durnau,,,,,,AfD,BW,73105.0,8117017.0,,2019.0,,,0.0,0.0,0.0,0.0,,8.0,,2019.0,2019.0,0.0,0.0,0.0,0.0,right,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,Göppingen,2877.0,2199.0,1115.0,5.37,1.9721973094170404,409.0,2.0,
1036,Durnau,,,,,,AfD,BW,73105.0,8117017.0,,2014.0,,,0.0,0.0,0.0,0.0,,8.0,,2014.0,2014.0,0.0,0.0,0.0,0.0,right,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,Göppingen,2876.0,2083.0,1051.0,5.37,1.9819219790675546,388.0,2.0,
1042,Ebersbach an der Fils,,,,,,AfD,BW,73061.0,8117018.0,,2019.0,,,0.0,7.0,0.0,0.0,,8.0,,2019.0,2019.0,0.0,0.0,0.0,0.0,right,0.0,67.0,21.0,0.0,0.0,0.0,0.0,,0.31343283582089554,,,-0.0013819789939192861,,,Göppingen,2851.0,15562.0,7799.0,26.26,1.9953840235927682,593.0,2.0,
1048,Ebersbach an der Fils,,,,,,AfD,BW,73061.0,8117018.0,,2014.0,,,0.0,0.0,0.0,0.0,,8.0,,2014.0,2014.0,0.0,0.0,0.0,0.0,right,,54.0,17.0,0.0,0.0,0.0,0.0,,0.3148148148148148,,,-0.0013819789939192861,,,Göppingen,2850.0,15166.0,7663.0,26.27,1.9791204489103484,577.0,2.0,
1054,Eislingen/Fils,,,,,,AfD,BW,73054.0,8117019.0,,2019.0,,,0.0,0.0,0.0,0.0,,8.0,,2019.0,2019.0,0.0,0.0,0.0,0.0,right,,66.0,29.0,0.0,0.0,0.0,0.0,,0.4393939393939394,,,0.026695526695526717,,,Göppingen,2849.0,21124.0,10652.0,16.41,1.9831017649267744,1287.0,3.0,
1060,Eislingen/Fils,,,,,,AfD,BW,73054.0,8117019.0,,2014.0,,,0.0,0.0,0.0,0.0,,8.0,,2014.0,2014.0,0.0,0.0,0.0,0.0,right,,63.0,26.0,0.0,0.0,0.0,0.0,,0.4126984126984127,,,0.026695526695526717,,,Göppingen,2848.0,19948.0,10132.0,16.41,1.9688116857481248,1216.0,2.0,
1066,Eschenbach,,,,,,AfD,BW,73107.0,8117020.0,,2019.0,,,0.0,0.0,0.0,0.0,,8.0,,2019.0,2019.0,0.0,0.0,0.0,0.0,right,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,Göppingen,2879.0,2149.0,1101.0,4.8,1.9518619436875568,448.0,2.0,
1072,Eschenbach,,,,,,AfD,BW,73107.0,8117020.0,,2014.0,,,0.0,0.0,0.0,0.0,,8.0,,2014.0,2014.0,0.0,0.0,0.0,0.0,right,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,Göppingen,2878.0,2158.0,1085.0,4.8,1.9889400921658986,450.0,2.0,
1078,Gammelshausen,,,,,,AfD,BW,73108.0,8117023.0,,2019.0,,,0.0,0.0,0.0,0.0,,8.0,,2019.0,2019.0,0.0,0.0,0.0,0.0,right,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,Göppingen,2881.0,1408.0,700.0,3.3,2.0114285714285716,427.0,2.0,
1084,Gammelshausen,,,,,,AfD,BW,73108.0,8117023.0,,2014.0,,,0.0,0.0,0.0,0.0,,8.0,,2014.0,2014.0,0.0,0.0,0.0,0.0,right,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,Göppingen,2880.0,1422.0,690.0,3.31,2.0608695652173914,430.0,2.0,
1090,Geislingen an der Steige,,,,,,AfD,BW,73312.0,8117024.0,,2019.0,,,0.0,0.0,0.0,0.0,,8.0,,2019.0,2019.0,0.0,0.0,0.0,0.0,right,,66.0,26.0,0.0,0.0,0.0,0.0,,0.3939393939393939,,,0.09090909090909088,,,Göppingen,2933.0,28328.0,14034.0,75.83,2.0185264357987744,374.0,2.0,
1096,Geislingen an der Steige,,,,,,AfD,BW,73312.0,8117024.0,,2014.0,,,0.0,0.0,0.0,0.0,,8.0,,2014.0,2014.0,0.0,0.0,0.0,0.0,right,,66.0,20.0,0.0,0.0,0.0,0.0,,0.30303030303030304,,,0.09090909090909088,,,Göppingen,2932.0,26673.0,13512.0,75.83,1.9740230905861456,352.0,2.0,
1102,Gingen an der Fils,,,,,,AfD,BW,73333.0,8117025.0,,2019.0,,,0.0,0.0,0.0,0.0,,8.0,,2019.0,2019.0,0.0,0.0,0.0,0.0,right,,12.0,3.0,0.0,0.0,0.0,0.0,,0.25,,,-0.0357142857142857,,,Göppingen,2939.0,4550.0,2301.0,10.02,1.9774011299435028,454.0,2.0,
1108,Gingen an der Fils,,,,,,AfD,BW,73333.0,8117025.0,,2014.0,,,0.0,0.0,0.0,0.0,,8.0,,2014.0,2014.0,0.0,0.0,0.0,0.0,right,,14.0,4.0,0.0,0.0,0.0,0.0,,0.2857142857142857,,,-0.0357142857142857,,,Göppingen,2938.0,4338.0,2188.0,10.01,1.982632541133455,433.0,2.0,
