,plz,year,pop,female,density,degree_urban,size,share_fem
157,71394.0,2014,15041.0,7609.0,999,mittlere Besiedlungsdichte,"15,05",0.5058839172927332
158,71573.0,2014,4640.0,2353.0,583,mittlere Besiedlungsdichte,"7,96",0.5071120689655172
159,71566.0,2014,4041.0,2018.0,223,gering besiedelt,"18,15",0.4993813412521653
160,71549.0,2014,6767.0,3367.0,342,mittlere Besiedlungsdichte,"19,76",0.4975616964681543
161,71522.0,2014,35368.0,17922.0,898,mittlere Besiedlungsdichte,"39,4",0.5067292467767474
162,71576.0,2014,3572.0,1773.0,347,mittlere Besiedlungsdichte,"10,29",0.4963605823068309
163,71737.0,2014,3715.0,1881.0,281,mittlere Besiedlungsdichte,"13,22",0.5063257065948856
164,71570.0,2014,4103.0,2015.0,207,gering besiedelt,"19,81",0.49110407019254204
165,71554.0,2014,7014.0,3575.0,496,mittlere Besiedlungsdichte,"14,13",0.5096948959224409
166,71546.0,2014,7950.0,3960.0,224,mittlere Besiedlungsdichte,"35,46",0.4981132075471698
167,73655.0,2014,9252.0,4684.0,354,mittlere Besiedlungsdichte,"26,13",0.5062689148292261
168,73660.0,2014,8744.0,4405.0,421,mittlere Besiedlungsdichte,"20,76",0.5037740164684354
169,73614.0,2014,38733.0,19836.0,681,mittlere Besiedlungsdichte,"56,84",0.512121446828286
170,73650.0,2014,7532.0,3892.0,440,mittlere Besiedlungsdichte,"17,13",0.516728624535316
171,71577.0,2014,2479.0,1155.0,91,gering besiedelt,"27,14",0.46591367486889873
172,71579.0,2014,2133.0,1032.0,76,gering besiedelt,"28,22",0.4838255977496484
173,71560.0,2014,5179.0,2626.0,129,gering besiedelt,"40,11",0.5070476926047499
174,73667.0,2014,2487.0,1211.0,89,gering besiedelt,"27,94",0.4869320466425412
175,73642.0,2014,10980.0,5637.0,289,mittlere Besiedlungsdichte,"37,99",0.5133879781420765
176,71397.0,2014,11095.0,5628.0,753,mittlere Besiedlungsdichte,"14,73",0.5072555205047319
177,71409.0,2014,9354.0,4791.0, 1 015,mittlere Besiedlungsdichte,"9,22",0.5121872995509942
178,71364.0,2014,27622.0,14037.0,985,mittlere Besiedlungsdichte,"28,05",0.5081818840055029
179,74072.0,2014,119841.0,60374.0, 1 200,dicht besiedelt,"99,88",0.5037841807061022
180,74206.0,2014,6848.0,3484.0,353,mittlere Besiedlungsdichte,"19,38",0.5087616822429907
